mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
1,2293.1198534279847,820.5963005951198,2089.593770495412,17851.23966942149,5270.733034330449,109420.73967977575,0.9526537232452184,1.0
2,100563.38295934538,3414.2939602128026,38.18586328730453,3332.2314049586776,4756.996292574832,205271.00303851312,1.7871583201796248,1.0
3,36456.98249855858,2669.3457406414673,6671.046426180721,61487.603305785095,7498.984806880201,168739.69673886715,1.469104493608741,1.0
4,69173.7529809875,3318.202376770467,935.4650144241168,41652.89256198347,4885.06714789867,193758.22737231886,1.4732383260215827,1.0
5,48422.37188777997,3956.4913391693553,1419.1731348230678,65454.54545454545,5027.439446868768,174235.93256303092,1.3248007948004228,1.0
6,71221.36225554526,3483.506653703662,18.010313691891497,47603.305785123965,5118.608698577836,196200.87667488618,1.4918109802947719,1.0
7,50434.78509559043,2732.238313913782,2404.3169547477155,65454.54545454545,4464.281667061145,177044.75600803609,1.3461576497135204,1.0
8,112661.74737386173,4833.274079940253,-15.713042487885104,47603.305785123965,5628.066306912524,241324.11841228948,1.834905000215479,1.0
9,110738.61935875757,5383.2436835106055,3363.7644130659755,69421.48760330575,4640.901001531984,280019.82843665394,2.4379467084883113,1.0
10,75810.30377206641,8025.200939897855,6132.488606394967,89256.1983471075,4724.293955410667,263742.3522397051,2.296229531749788,1.0
11,37859.54794453988,1942.4535900430637,5681.721282755898,79338.84297520661,6412.246814844877,212111.54270148065,1.8467143567957536,1.0
12,126026.96648125496,5513.074396889133,2655.4372794092633,61487.603305785095,4937.241442807155,274571.3015516232,2.390510002810607,1.0
1,136572.35072831356,4036.769658865116,4720.344282703067,87272.72727272731,4806.615340303557,318380.73504306795,2.771929650045934,1.0
2,16050.087188026791,8737.502476882364,7213.773719073739,103140.4958677686,4248.773424151558,228565.28169698323,1.9899661366799262,1.0
3,20035.29944741264,2310.7968200730684,722.1796250035986,63471.07438016526,4834.219075476126,181883.90488382394,1.5835423859593958,1.0
4,93560.06724885538,331.01764018501854,2866.978513823502,53553.71900826446,6664.158183957447,212690.1340668189,1.6171868483901697,1.0
5,132187.33846248823,5397.674544489826,-10.979782906681066,83305.78512396694,5929.890246530291,261050.45148620644,1.9848939339009524,1.0
6,19950.873933497674,5828.145178814593,-38.28363164901384,134876.03305785122,5604.759184885566,146386.96198743093,1.1130514856297573,1.0
7,176577.1328289397,5872.541570554138,4839.1554216526565,17851.239669421488,4833.580217084503,301312.6610787661,2.2910271550110606,1.0
8,86082.33232058346,5863.604607446294,3768.2859049249673,174545.45454545456,4954.696992173513,209990.16056424283,1.596657632690883,1.0
9,49469.33003870441,3837.572838477703,2707.8331445815566,59504.13223140493,4644.208185846965,196440.88987959153,1.710280388243308,1.0
10,61811.10111429721,5237.776043487451,3981.091580093809,61487.603305785095,4824.354898735845,193196.71725276142,1.6820355313647617,1.0
